,lcl_id,ds,y,air_temperature
104,MAC000003,2012-11-03 04:00:00,1.261,4.2
105,MAC000003,2012-11-03 04:30:00,0.938,4.2
106,MAC000003,2012-11-03 05:00:00,0.966,4.8
107,MAC000003,2012-11-03 05:30:00,1.178,4.8
108,MAC000003,2012-11-03 06:00:00,0.143,5.2
109,MAC000003,2012-11-03 06:30:00,0.144,5.2
110,MAC000003,2012-11-03 07:00:00,0.802,5.5
111,MAC000003,2012-11-03 07:30:00,0.147,5.5
112,MAC000003,2012-11-03 08:00:00,0.352,5.8
113,MAC000003,2012-11-03 08:30:00,0.212,5.8
114,MAC000003,2012-11-03 09:00:00,0.22,6.7
115,MAC000003,2012-11-03 09:30:00,0.135,6.7
116,MAC000003,2012-11-03 10:00:00,0.125,8.1
117,MAC000003,2012-11-03 10:30:00,0.109,8.1
118,MAC000003,2012-11-03 11:00:00,0.2,8.8
119,MAC000003,2012-11-03 11:30:00,0.196,8.8
120,MAC000003,2012-11-03 12:00:00,0.209,9.2
121,MAC000003,2012-11-03 12:30:00,0.198,9.2
122,MAC000003,2012-11-03 13:00:00,0.279,9.9
123,MAC000003,2012-11-03 13:30:00,0.235,9.9
124,MAC000003,2012-11-03 14:00:00,0.226,9.9
125,MAC000003,2012-11-03 14:30:00,0.179,9.9
126,MAC000003,2012-11-03 15:00:00,0.175,8.9
127,MAC000003,2012-11-03 15:30:00,0.124,8.9
128,MAC000003,2012-11-03 16:00:00,0.115,8.2
129,MAC000003,2012-11-03 16:30:00,0.058,8.2
130,MAC000003,2012-11-03 17:00:00,0.089,7.9
131,MAC000003,2012-11-03 17:30:00,0.13,7.9
132,MAC000003,2012-11-03 18:00:00,0.224,7.8
133,MAC000003,2012-11-03 18:30:00,0.162,7.8
134,MAC000003,2012-11-03 19:00:00,0.081,7.7
135,MAC000003,2012-11-03 19:30:00,0.08,7.7
136,MAC000003,2012-11-03 20:00:00,0.077,6.8
137,MAC000003,2012-11-03 20:30:00,0.094,6.8
138,MAC000003,2012-11-03 21:00:00,0.122,5.9
139,MAC000003,2012-11-03 21:30:00,0.186,5.9
140,MAC000003,2012-11-03 22:00:00,0.147,5.2
141,MAC000003,2012-11-03 22:30:00,0.203,5.2
142,MAC000003,2012-11-03 23:00:00,0.154,3.7
143,MAC000003,2012-11-03 23:30:00,0.121,3.7
144,MAC000003,2012-11-04 00:00:00,0.1,2.2
145,MAC000003,2012-11-04 00:30:00,2.0250001,2.2
146,MAC000003,2012-11-04 01:00:00,2.128,2.2
147,MAC000003,2012-11-04 01:30:00,1.545,2.2
148,MAC000003,2012-11-04 02:00:00,0.927,2.3
149,MAC000003,2012-11-04 02:30:00,1.251,2.3
150,MAC000003,2012-11-04 03:00:00,0.917,3.3
151,MAC000003,2012-11-04 03:30:00,1.228,3.3
152,MAC000003,2012-11-04 04:00:00,0.885,4.0
153,MAC000003,2012-11-04 04:30:00,0.878,4.0
154,MAC000003,2012-11-04 05:00:00,1.284,4.7
155,MAC000003,2012-11-04 05:30:00,0.873,4.7
156,MAC000003,2012-11-04 06:00:00,0.131,5.0
157,MAC000003,2012-11-04 06:30:00,0.805,5.0
158,MAC000003,2012-11-04 07:00:00,0.123,5.3
159,MAC000003,2012-11-04 07:30:00,0.073,5.3
160,MAC000003,2012-11-04 08:00:00,0.128,5.7
161,MAC000003,2012-11-04 08:30:00,0.167,5.7
162,MAC000003,2012-11-04 09:00:00,0.331,6.3
163,MAC000003,2012-11-04 09:30:00,0.27,6.3
164,MAC000003,2012-11-04 10:00:00,0.236,7.3
165,MAC000003,2012-11-04 10:30:00,0.201,7.3
166,MAC000003,2012-11-04 11:00:00,0.193,8.3
167,MAC000003,2012-11-04 11:30:00,0.266,8.3
168,MAC000003,2012-11-04 12:00:00,0.212,8.8
169,MAC000003,2012-11-04 12:30:00,0.248,8.8
170,MAC000003,2012-11-04 13:00:00,0.87,5.7
171,MAC000003,2012-11-04 13:30:00,0.247,5.7
172,MAC000003,2012-11-04 14:00:00,0.141,4.9
173,MAC000003,2012-11-04 14:30:00,0.123,4.9
174,MAC000003,2012-11-04 15:00:00,0.034,5.3
175,MAC000003,2012-11-04 15:30:00,0.071,5.3
176,MAC000003,2012-11-04 16:00:00,0.072,5.3
177,MAC000003,2012-11-04 16:30:00,0.114,5.3
178,MAC000003,2012-11-04 17:00:00,0.072,5.1
179,MAC000003,2012-11-04 17:30:00,0.074,5.1
180,MAC000003,2012-11-04 18:00:00,0.088,4.5
181,MAC000003,2012-11-04 18:30:00,0.118,4.5
182,MAC000003,2012-11-04 19:00:00,0.087,4.0
183,MAC000003,2012-11-04 19:30:00,0.286,4.0
184,MAC000003,2012-11-04 20:00:00,0.136,3.0
185,MAC000003,2012-11-04 20:30:00,0.158,3.0
186,MAC000003,2012-11-04 21:00:00,0.16,3.0
187,MAC000003,2012-11-04 21:30:00,0.126,3.0
188,MAC000003,2012-11-04 22:00:00,0.131,3.2
189,MAC000003,2012-11-04 22:30:00,0.158,3.2
190,MAC000003,2012-11-04 23:00:00,0.112,2.4
191,MAC000003,2012-11-04 23:30:00,0.759,2.4
192,MAC000003,2012-11-05 00:00:00,0.324,1.3
193,MAC000003,2012-11-05 00:30:00,3.8670001,1.3
194,MAC000003,2012-11-05 01:00:00,3.921,1.1
195,MAC000003,2012-11-05 01:30:00,2.6370001,1.1
196,MAC000003,2012-11-05 02:00:00,2.286,0.9
197,MAC000003,2012-11-05 02:30:00,2.7060001,0.9
198,MAC000003,2012-11-05 03:00:00,2.3759999,2.1
199,MAC000003,2012-11-05 03:30:00,2.451,2.1
200,MAC000003,2012-11-05 04:00:00,2.7160001,2.8
201,MAC000003,2012-11-05 04:30:00,2.4489999,2.8
202,MAC000003,2012-11-05 05:00:00,1.98,3.5
203,MAC000003,2012-11-05 05:30:00,1.926,3.5
204,MAC000003,2012-11-05 06:00:00,2.3469999,3.3
205,MAC000003,2012-11-05 06:30:00,2.082,3.3
206,MAC000003,2012-11-05 07:00:00,2.3540001,3.1
207,MAC000003,2012-11-05 07:30:00,0.321,3.1
208,MAC000003,2012-11-05 08:00:00,0.424,2.9
209,MAC000003,2012-11-05 08:30:00,0.218,2.9
210,MAC000003,2012-11-05 09:00:00,0.23,5.8
211,MAC000003,2012-11-05 09:30:00,0.191,5.8
212,MAC000003,2012-11-05 10:00:00,0.218,7.6
213,MAC000003,2012-11-05 10:30:00,0.117,7.6
214,MAC000003,2012-11-05 11:00:00,0.117,8.5
215,MAC000003,2012-11-05 11:30:00,0.233,8.5
216,MAC000003,2012-11-05 12:00:00,0.114,9.4
217,MAC000003,2012-11-05 12:30:00,0.116,9.4
218,MAC000003,2012-11-05 13:00:00,0.073,9.3
219,MAC000003,2012-11-05 13:30:00,0.124,9.3
220,MAC000003,2012-11-05 14:00:00,0.145,9.5
221,MAC000003,2012-11-05 14:30:00,0.156,9.5
222,MAC000003,2012-11-05 15:00:00,0.237,9.4
223,MAC000003,2012-11-05 15:30:00,0.198,9.4
224,MAC000003,2012-11-05 16:00:00,0.26,9.1
225,MAC000003,2012-11-05 16:30:00,0.221,9.1
226,MAC000003,2012-11-05 17:00:00,0.269,7.1
227,MAC000003,2012-11-05 17:30:00,0.3,7.1
228,MAC000003,2012-11-05 18:00:00,0.301,6.1
229,MAC000003,2012-11-05 18:30:00,0.558,6.1
230,MAC000003,2012-11-05 19:00:00,0.238,5.3
231,MAC000003,2012-11-05 19:30:00,0.223,5.3
232,MAC000003,2012-11-05 20:00:00,1.58,5.1
233,MAC000003,2012-11-05 20:30:00,0.144,5.1
234,MAC000003,2012-11-05 21:00:00,0.172,4.4
235,MAC000003,2012-11-05 21:30:00,0.167,4.4
236,MAC000003,2012-11-05 22:00:00,0.184,4.3
237,MAC000003,2012-11-05 22:30:00,0.115,4.3
238,MAC000003,2012-11-05 23:00:00,0.15,3.8
239,MAC000003,2012-11-05 23:30:00,0.114,3.8
240,MAC000003,2012-11-06 00:00:00,0.132,3.3
241,MAC000003,2012-11-06 00:30:00,3.227,3.3
242,MAC000003,2012-11-06 01:00:00,3.332,2.4
243,MAC000003,2012-11-06 01:30:00,3.3570001,2.4
244,MAC000003,2012-11-06 02:00:00,2.234,2.3
245,MAC000003,2012-11-06 02:30:00,2.688,2.3
246,MAC000003,2012-11-06 03:00:00,2.3870001,1.7
247,MAC000003,2012-11-06 03:30:00,2.4460001,1.7
248,MAC000003,2012-11-06 04:00:00,2.6830001,1.6
249,MAC000003,2012-11-06 04:30:00,2.4059999,1.6
250,MAC000003,2012-11-06 05:00:00,2.3940001,1.1
251,MAC000003,2012-11-06 05:30:00,2.586,1.1
252,MAC000003,2012-11-06 06:00:00,1.653,1.2
253,MAC000003,2012-11-06 06:30:00,1.676,1.2
254,MAC000003,2012-11-06 07:00:00,2.316,1.3
255,MAC000003,2012-11-06 07:30:00,0.205,1.3
256,MAC000003,2012-11-06 08:00:00,0.384,1.7
257,MAC000003,2012-11-06 08:30:00,0.302,1.7
258,MAC000003,2012-11-06 09:00:00,0.264,4.0
259,MAC000003,2012-11-06 09:30:00,0.276,4.0
260,MAC000003,2012-11-06 10:00:00,0.246,5.9
261,MAC000003,2012-11-06 10:30:00,0.086,5.9
262,MAC000003,2012-11-06 11:00:00,0.096,7.8
263,MAC000003,2012-11-06 11:30:00,0.073,7.8
264,MAC000003,2012-11-06 12:00:00,0.133,9.3
265,MAC000003,2012-11-06 12:30:00,0.612,9.3
266,MAC000003,2012-11-06 13:00:00,0.903,9.7
267,MAC000003,2012-11-06 13:30:00,0.272,9.7
268,MAC000003,2012-11-06 14:00:00,0.192,9.8
269,MAC000003,2012-11-06 14:30:00,0.108,9.8
270,MAC000003,2012-11-06 15:00:00,0.111,9.9
271,MAC000003,2012-11-06 15:30:00,0.076,9.9
272,MAC000003,2012-11-06 16:00:00,0.156,9.1
273,MAC000003,2012-11-06 16:30:00,0.141,9.1
274,MAC000003,2012-11-06 17:00:00,0.135,8.8
275,MAC000003,2012-11-06 17:30:00,0.096,8.8
276,MAC000003,2012-11-06 18:00:00,0.08,9.3
277,MAC000003,2012-11-06 18:30:00,0.159,9.3
278,MAC000003,2012-11-06 19:00:00,0.192,9.5
279,MAC000003,2012-11-06 19:30:00,0.265,9.5
280,MAC000003,2012-11-06 20:00:00,0.226,9.1
281,MAC000003,2012-11-06 20:30:00,0.272,9.1
282,MAC000003,2012-11-06 21:00:00,0.217,8.9
283,MAC000003,2012-11-06 21:30:00,0.137,8.9
284,MAC000003,2012-11-06 22:00:00,0.153,8.7
285,MAC000003,2012-11-06 22:30:00,0.135,8.7
286,MAC000003,2012-11-06 23:00:00,0.206,8.5
287,MAC000003,2012-11-06 23:30:00,0.119,8.5
288,MAC000003,2012-11-07 00:00:00,0.138,7.0
289,MAC000003,2012-11-07 00:30:00,3.1670001,7.0
290,MAC000003,2012-11-07 01:00:00,3.4489999,6.3
291,MAC000003,2012-11-07 01:30:00,2.8239999,6.3
292,MAC000003,2012-11-07 02:00:00,2.2969999,6.4
293,MAC000003,2012-11-07 02:30:00,2.7709999,6.4
294,MAC000003,2012-11-07 03:00:00,2.372,6.1
295,MAC000003,2012-11-07 03:30:00,2.5769999,6.1
296,MAC000003,2012-11-07 04:00:00,2.3610001,5.2
297,MAC000003,2012-11-07 04:30:00,2.339,5.2
298,MAC000003,2012-11-07 05:00:00,2.187,4.8
299,MAC000003,2012-11-07 05:30:00,1.9170001,4.8
300,MAC000003,2012-11-07 06:00:00,1.822,4.5
301,MAC000003,2012-11-07 06:30:00,1.896,4.5
302,MAC000003,2012-11-07 07:00:00,1.967,4.8
303,MAC000003,2012-11-07 07:30:00,0.151,4.8
304,MAC000003,2012-11-07 08:00:00,0.327,5.2
305,MAC000003,2012-11-07 08:30:00,0.288,5.2
306,MAC000003,2012-11-07 09:00:00,0.293,6.6
307,MAC000003,2012-11-07 09:30:00,0.31,6.6
308,MAC000003,2012-11-07 10:00:00,0.275,8.4
309,MAC000003,2012-11-07 10:30:00,0.274,8.4
310,MAC000003,2012-11-07 11:00:00,0.242,9.4
311,MAC000003,2012-11-07 11:30:00,0.211,9.4
312,MAC000003,2012-11-07 12:00:00,0.137,9.2
313,MAC000003,2012-11-07 12:30:00,0.184,9.2
314,MAC000003,2012-11-07 13:00:00,0.847,9.8
315,MAC000003,2012-11-07 13:30:00,0.377,9.8
316,MAC000003,2012-11-07 14:00:00,0.285,9.8
317,MAC000003,2012-11-07 14:30:00,0.17,9.8
318,MAC000003,2012-11-07 15:00:00,0.164,10.1
319,MAC000003,2012-11-07 15:30:00,0.176,10.1
320,MAC000003,2012-11-07 16:00:00,0.201,9.9
321,MAC000003,2012-11-07 16:30:00,0.107,9.9
322,MAC000003,2012-11-07 17:00:00,0.151,9.7
323,MAC000003,2012-11-07 17:30:00,0.079,9.7
324,MAC000003,2012-11-07 18:00:00,0.094,9.1
325,MAC000003,2012-11-07 18:30:00,0.083,9.1
326,MAC000003,2012-11-07 19:00:00,0.098,9.1
327,MAC000003,2012-11-07 19:30:00,0.195,9.1
328,MAC000003,2012-11-07 20:00:00,0.211,8.9
329,MAC000003,2012-11-07 20:30:00,0.203,8.9
330,MAC000003,2012-11-07 21:00:00,0.133,9.4
331,MAC000003,2012-11-07 21:30:00,0.154,9.4
332,MAC000003,2012-11-07 22:00:00,0.134,9.6
333,MAC000003,2012-11-07 22:30:00,0.166,9.6
334,MAC000003,2012-11-07 23:00:00,0.184,9.7
335,MAC000003,2012-11-07 23:30:00,0.167,9.7
336,MAC000003,2012-11-08 00:00:00,0.133,8.6
337,MAC000003,2012-11-08 00:30:00,3.0599999,8.6
338,MAC000003,2012-11-08 01:00:00,3.237,8.5
339,MAC000003,2012-11-08 01:30:00,3.332,8.5
340,MAC000003,2012-11-08 02:00:00,2.2639999,8.2
341,MAC000003,2012-11-08 02:30:00,2.3099999,8.2
342,MAC000003,2012-11-08 03:00:00,2.608,7.7
343,MAC000003,2012-11-08 03:30:00,1.859,7.7
344,MAC000003,2012-11-08 04:00:00,1.058,8.1
345,MAC000003,2012-11-08 04:30:00,0.896,8.1
346,MAC000003,2012-11-08 05:00:00,0.214,8.7
347,MAC000003,2012-11-08 05:30:00,0.938,8.7
348,MAC000003,2012-11-08 06:00:00,1.339,8.4
349,MAC000003,2012-11-08 06:30:00,1.577,8.4
350,MAC000003,2012-11-08 07:00:00,1.1289999,8.9
351,MAC000003,2012-11-08 07:30:00,0.137,8.9
352,MAC000003,2012-11-08 08:00:00,0.205,9.0
353,MAC000003,2012-11-08 08:30:00,0.34,9.0
354,MAC000003,2012-11-08 09:00:00,0.258,9.3
355,MAC000003,2012-11-08 09:30:00,0.227,9.3
356,MAC000003,2012-11-08 10:00:00,0.218,10.6
357,MAC000003,2012-11-08 10:30:00,0.243,10.6
358,MAC000003,2012-11-08 11:00:00,0.238,11.4
359,MAC000003,2012-11-08 11:30:00,0.192,11.4
360,MAC000003,2012-11-08 12:00:00,0.067,11.8
361,MAC000003,2012-11-08 12:30:00,0.112,11.8
362,MAC000003,2012-11-08 13:00:00,0.087,12.8
363,MAC000003,2012-11-08 13:30:00,0.089,12.8
364,MAC000003,2012-11-08 14:00:00,0.059,11.9
365,MAC000003,2012-11-08 14:30:00,0.044,11.9
366,MAC000003,2012-11-08 15:00:00,0.07,11.6
367,MAC000003,2012-11-08 15:30:00,0.16,11.6
368,MAC000003,2012-11-08 16:00:00,0.175,11.3
369,MAC000003,2012-11-08 16:30:00,0.111,11.3
370,MAC000003,2012-11-08 17:00:00,0.163,11.1
371,MAC000003,2012-11-08 17:30:00,0.096,11.1
372,MAC000003,2012-11-08 18:00:00,0.073,10.6
373,MAC000003,2012-11-08 18:30:00,0.117,10.6
374,MAC000003,2012-11-08 19:00:00,0.304,10.1
375,MAC000003,2012-11-08 19:30:00,0.291,10.1
376,MAC000003,2012-11-08 20:00:00,0.299,10.0
377,MAC000003,2012-11-08 20:30:00,0.245,10.0
378,MAC000003,2012-11-08 21:00:00,0.199,9.9
379,MAC000003,2012-11-08 21:30:00,0.183,9.9
380,MAC000003,2012-11-08 22:00:00,0.15,9.8
381,MAC000003,2012-11-08 22:30:00,0.234,9.8
382,MAC000003,2012-11-08 23:00:00,0.195,9.2
383,MAC000003,2012-11-08 23:30:00,0.192,9.2
384,MAC000003,2012-11-09 00:00:00,0.18,8.3
385,MAC000003,2012-11-09 00:30:00,3.2019999,8.3
386,MAC000003,2012-11-09 01:00:00,3.323,8.4
387,MAC000003,2012-11-09 01:30:00,2.8640001,8.4
388,MAC000003,2012-11-09 02:00:00,2.3110001,8.1
389,MAC000003,2012-11-09 02:30:00,2.6700001,8.1
390,MAC000003,2012-11-09 03:00:00,2.348,8.4
391,MAC000003,2012-11-09 03:30:00,2.342,8.4
392,MAC000003,2012-11-09 04:00:00,2.5739999,8.4
393,MAC000003,2012-11-09 04:30:00,0.818,8.4
394,MAC000003,2012-11-09 05:00:00,0.117,8.3
395,MAC000003,2012-11-09 05:30:00,0.439,8.3
396,MAC000003,2012-11-09 06:00:00,0.514,8.6
397,MAC000003,2012-11-09 06:30:00,0.211,8.6
398,MAC000003,2012-11-09 07:00:00,2.01,8.5
399,MAC000003,2012-11-09 07:30:00,0.265,8.5
400,MAC000003,2012-11-09 08:00:00,0.359,8.7
401,MAC000003,2012-11-09 08:30:00,0.277,8.7
402,MAC000003,2012-11-09 09:00:00,0.279,9.2
403,MAC000003,2012-11-09 09:30:00,0.204,9.2
404,MAC000003,2012-11-09 10:00:00,0.215,9.8
405,MAC000003,2012-11-09 10:30:00,0.239,9.8
406,MAC000003,2012-11-09 11:00:00,0.291,10.5
407,MAC000003,2012-11-09 11:30:00,0.387,10.5
408,MAC000003,2012-11-09 12:00:00,0.255,10.7
409,MAC000003,2012-11-09 12:30:00,0.263,10.7
410,MAC000003,2012-11-09 13:00:00,0.272,10.3
411,MAC000003,2012-11-09 13:30:00,0.145,10.3
412,MAC000003,2012-11-09 14:00:00,0.139,11.2
413,MAC000003,2012-11-09 14:30:00,0.141,11.2
414,MAC000003,2012-11-09 15:00:00,0.087,11.2
415,MAC000003,2012-11-09 15:30:00,0.145,11.2
416,MAC000003,2012-11-09 16:00:00,0.106,10.9
417,MAC000003,2012-11-09 16:30:00,0.151,10.9
418,MAC000003,2012-11-09 17:00:00,0.165,10.0
419,MAC000003,2012-11-09 17:30:00,0.11,10.0
420,MAC000003,2012-11-09 18:00:00,0.145,9.7
421,MAC000003,2012-11-09 18:30:00,0.135,9.7
422,MAC000003,2012-11-09 19:00:00,0.158,9.3
423,MAC000003,2012-11-09 19:30:00,0.224,9.3
424,MAC000003,2012-11-09 20:00:00,0.19,9.2
425,MAC000003,2012-11-09 20:30:00,0.153,9.2
426,MAC000003,2012-11-09 21:00:00,0.119,9.5
427,MAC000003,2012-11-09 21:30:00,0.149,9.5
428,MAC000003,2012-11-09 22:00:00,0.154,9.2
429,MAC000003,2012-11-09 22:30:00,0.158,9.2
430,MAC000003,2012-11-09 23:00:00,0.178,9.2
431,MAC000003,2012-11-09 23:30:00,0.102,9.2
432,MAC000003,2012-11-10 00:00:00,0.101,9.3
433,MAC000003,2012-11-10 00:30:00,3.1559999,9.3
434,MAC000003,2012-11-10 01:00:00,3.3039999,9.4
435,MAC000003,2012-11-10 01:30:00,3.5369999,9.4
436,MAC000003,2012-11-10 02:00:00,3.619,9.5
437,MAC000003,2012-11-10 02:30:00,2.711,9.5
438,MAC000003,2012-11-10 03:00:00,2.359,10.0
439,MAC000003,2012-11-10 03:30:00,2.74,10.0
440,MAC000003,2012-11-10 04:00:00,2.4100001,10.0
441,MAC000003,2012-11-10 04:30:00,0.657,10.0
442,MAC000003,2012-11-10 05:00:00,0.398,10.2
443,MAC000003,2012-11-10 05:30:00,0.341,10.2
444,MAC000003,2012-11-10 06:00:00,0.466,9.9
445,MAC000003,2012-11-10 06:30:00,0.345,9.9
446,MAC000003,2012-11-10 07:00:00,0.584,8.5
447,MAC000003,2012-11-10 07:30:00,0.173,8.5
448,MAC000003,2012-11-10 08:00:00,0.389,8.5
449,MAC000003,2012-11-10 08:30:00,0.283,8.5
450,MAC000003,2012-11-10 09:00:00,0.234,8.7
451,MAC000003,2012-11-10 09:30:00,0.137,8.7
452,MAC000003,2012-11-10 10:00:00,0.086,9.0
453,MAC000003,2012-11-10 10:30:00,0.093,9.0
454,MAC000003,2012-11-10 11:00:00,0.201,9.4
455,MAC000003,2012-11-10 11:30:00,0.214,9.4
456,MAC000003,2012-11-10 12:00:00,0.498,9.3
457,MAC000003,2012-11-10 12:30:00,0.238,9.3
458,MAC000003,2012-11-10 13:00:00,0.281,9.6
459,MAC000003,2012-11-10 13:30:00,0.151,9.6
460,MAC000003,2012-11-10 14:00:00,0.168,10.1
461,MAC000003,2012-11-10 14:30:00,0.068,10.1
462,MAC000003,2012-11-10 15:00:00,0.103,9.8
463,MAC000003,2012-11-10 15:30:00,0.084,9.8
464,MAC000003,2012-11-10 16:00:00,0.158,9.7
465,MAC000003,2012-11-10 16:30:00,0.131,9.7
466,MAC000003,2012-11-10 17:00:00,0.127,9.1
467,MAC000003,2012-11-10 17:30:00,0.124,9.1
468,MAC000003,2012-11-10 18:00:00,0.075,8.7
469,MAC000003,2012-11-10 18:30:00,0.115,8.7
470,MAC000003,2012-11-10 19:00:00,0.075,8.0
471,MAC000003,2012-11-10 19:30:00,0.207,8.0
472,MAC000003,2012-11-10 20:00:00,0.236,7.2
473,MAC000003,2012-11-10 20:30:00,0.223,7.2
474,MAC000003,2012-11-10 21:00:00,0.26,6.9
475,MAC000003,2012-11-10 21:30:00,0.232,6.9
476,MAC000003,2012-11-10 22:00:00,0.174,6.5
477,MAC000003,2012-11-10 22:30:00,0.159,6.5
